Pengadilan,Jumlah Perkara
PENGADILAN NEGERI KABANJAHE,11
PENGADILAN NEGERI UNAAHA,10
PENGADILAN NEGERI SUMBER,10
PENGADILAN NEGERI SUMENEP,10
PENGADILAN NEGERI ANDOOLO,10
PENGADILAN NEGERI PASARWAJO,10
PENGADILAN NEGERI RAHA,10
PENGADILAN NEGERI KOLAKA,10
PENGADILAN NEGERI KEDIRI,10
PENGADILAN NEGERI LIMBOTO,10
PENGADILAN NEGERI TAMIANG LAYANG,10
PENGADILAN NEGERI PASIR PENGARAIAN,10
PENGADILAN NEGERI TEMANGGUNG,10
PENGADILAN NEGERI SIDIKALANG,10
PENGADILAN NEGERI BAU-BAU,9
PENGADILAN NEGERI PACITAN,9
PENGADILAN NEGERI LABUHA,9
PENGADILAN NEGERI BLORA,9
PENGADILAN NEGERI BANYUMAS,8
PENGADILAN NEGERI CILACAP,8
PENGADILAN NEGERI SIMALUNGUN,8
PENGADILAN NEGERI CIREBON,8
PENGADILAN NEGERI TUAL,8
PENGADILAN NEGERI BOYOLALI,8
PENGADILAN NEGERI BANJARNEGARA,8
PENGADILAN NEGERI KEBUMEN,7
PENGADILAN NEGERI PROBOLINGGO,7
PENGADILAN NEGERI PURWAKARTA,7
PENGADILAN NEGERI GUNUNG SITOLI,7
PENGADILAN NEGERI SAUMLAKI,7
PENGADILAN NEGERI SUBANG,7
PENGADILAN NEGERI PURWOKERTO,7
PENGADILAN NEGERI MAGETAN,7
PENGADILAN NEGERI PEKALONGAN,7
PENGADILAN NEGERI MENGGALA,6
PENGADILAN NEGERI LASUSUA,5
PENGADILAN NEGERI TILAMUTA,5
PENGADILAN NEGERI PURBALINGGA,5
PENGADILAN NEGERI RANTAU PRAPAT,5
PENGADILAN NEGERI DEPOK,4
PENGADILAN NEGERI BOBONG,4
PENGADILAN NEGERI TOBELO,4
PENGADILAN NEGERI TABANAN,4
PENGADILAN NEGERI TAIS,4
PENGADILAN NEGERI KENDAL,4
PENGADILAN NEGERI DATARAN HUNIMOA,3
PENGADILAN NEGERI SIBUHUAN,3
PENGADILAN NEGERI SOASIO,3
PENGADILAN NEGERI TASIKMALAYA,3
PENGADILAN NEGERI MANNA,3
PENGADILAN NEGERI BINJAI,3
PENGADILAN NEGERI SUKOHARJO,3
PENGADILAN NEGERI PEMALANG,3
PENGADILAN NEGERI BREBES,3
PENGADILAN NEGERI WAMENA,2
PENGADILAN NEGERI PAMEKASAN,2
PENGADILAN NEGERI SEMARAPURA,2
PENGADILAN NEGERI UNGARAN,2
PENGADILAN NEGERI PURWOREJO,2
PENGADILAN NEGERI SLAWI,2
PENGADILAN NEGERI SURAKARTA,2
PENGADILAN NEGERI SEI REMPAH,1
PENGADILAN NEGERI NIBIRE,1
PENGADILAN NEGERI WONOGIRI,1
PENGADILAN NEGERI SALATIGA,1
PENGADILAN NEGERI DEMAK,1
PENGADILAN NEGERI KOTA TIMIKA KABUPATEN MIMIKA,1
